TASK_ID -- core -- memory -- disk -- time -- drop_out_rate -- num_residual_blocks
5 -- 1.008 -- 2801 -- 2437 -- 577.798709 -- 0.05 -- 5
21 -- 1.011 -- 2918 -- 2437 -- 499.035091 -- 0.1 -- 1
25 -- 1.018 -- 2919 -- 2437 -- 495.71801 -- 0.1 -- 5
3 -- 1.008 -- 3120 -- 2437 -- 656.439223 -- 0.05 -- 3
13 -- 1.004 -- 3060 -- 2437 -- 719.9842149999999 -- 0.05 -- 13
23 -- 1.008 -- 3090 -- 2437 -- 659.322986 -- 0.1 -- 3
4 -- 0.66 -- 2904 -- 2437 -- 793.208761 -- 0.05 -- 4
61 -- 1.012 -- 3105 -- 2437 -- 424.771303 -- 0.2 -- 1
41 -- 0.554 -- 2870 -- 2437 -- 599.832816 -- 0.15000000000000002 -- 1
43 -- 1.009 -- 3116 -- 2437 -- 610.368737 -- 0.15000000000000002 -- 3
84 -- 1.011 -- 3190 -- 2437 -- 341.137265 -- 0.25 -- 4
64 -- 1.019 -- 2606 -- 2437 -- 477.479526 -- 0.2 -- 4
1 -- 1.011 -- 3093 -- 2437 -- 960.918077 -- 0.05 -- 1
81 -- 1.012 -- 3076 -- 2437 -- 453.031067 -- 0.25 -- 1
24 -- 0.873 -- 3090 -- 2437 -- 864.906919 -- 0.1 -- 4
121 -- 1.019 -- 2610 -- 2437 -- 262.067171 -- 0.35000000000000003 -- 1
6 -- 1.005 -- 3154 -- 2437 -- 1010.436877 -- 0.05 -- 6
26 -- 1.007 -- 3160 -- 2437 -- 894.030141 -- 0.1 -- 6
69 -- 1.008 -- 2795 -- 2437 -- 625.0830549999999 -- 0.2 -- 9
51 -- 1.006 -- 3296 -- 2437 -- 749.603983 -- 0.15000000000000002 -- 11
104 -- 1.019 -- 2671 -- 2437 -- 441.542602 -- 0.30000000000000004 -- 4
7 -- 0.662 -- 2986 -- 2437 -- 1067.839851 -- 0.05 -- 7
101 -- 1.012 -- 3073 -- 2437 -- 464.235659 -- 0.30000000000000004 -- 1
45 -- 1.006 -- 3093 -- 2437 -- 828.292189 -- 0.15000000000000002 -- 5
46 -- 1.007 -- 3175 -- 2437 -- 845.770844 -- 0.15000000000000002 -- 6
2 -- 1.009 -- 3093 -- 2437 -- 1159.418526 -- 0.05 -- 2
27 -- 1.005 -- 3186 -- 2437 -- 1030.595719 -- 0.1 -- 7
65 -- 1.007 -- 3114 -- 2437 -- 791.523607 -- 0.2 -- 5
12 -- 0.994 -- 3028 -- 2437 -- 1163.08987 -- 0.05 -- 12
10 -- 1.005 -- 3169 -- 2437 -- 1239.883615 -- 0.05 -- 10
52 -- 1.01 -- 2897 -- 2437 -- 973.600191 -- 0.15000000000000002 -- 12
182 -- 1.018 -- 2900 -- 2437 -- 234.688201 -- 0.5 -- 2
146 -- 1.009 -- 2862 -- 2437 -- 433.586637 -- 0.4 -- 6
14 -- 1.003 -- 3158 -- 2437 -- 1244.133083 -- 0.05 -- 14
108 -- 1.014 -- 2738 -- 2437 -- 663.77877 -- 0.30000000000000004 -- 8
