taskid -- core -- memory -- disk -- time
3 -- 1.011 -- 2634 -- 2437 -- 327.476603
11 -- 1.014 -- 2966 -- 2437 -- 333.347715
26 -- 1.015 -- 3051 -- 2437 -- 272.197716
6 -- 1.01 -- 2908 -- 2437 -- 453.65946
30 -- 1.005 -- 2883 -- 2437 -- 334.436281
22 -- 1.024 -- 2657 -- 2437 -- 398.426882
14 -- 1.008 -- 2695 -- 2437 -- 458.691597
29 -- 1.009 -- 2919 -- 2437 -- 415.674083
5 -- 1.009 -- 2711 -- 2437 -- 578.923769
34 -- 1.024 -- 3195 -- 2437 -- 384.062334
23 -- 1 -- 3106 -- 2437 -- 474.78301
71 -- 1.023 -- 2812 -- 2437 -- 186.36202
27 -- 1.011 -- 3069 -- 2437 -- 464.758571
45 -- 1.011 -- 2857 -- 2437 -- 360.60367
7 -- 0.822 -- 3075 -- 2437 -- 622.917434
10 -- 1.009 -- 3115 -- 2437 -- 616.721505
35 -- 1.013 -- 2979 -- 2437 -- 459.439695
18 -- 1.009 -- 3110 -- 2437 -- 596.112576
75 -- 1.034 -- 2741 -- 2437 -- 272.780832
61 -- 1.01 -- 3058 -- 2437 -- 371.308619
55 -- 1.012 -- 2985 -- 2437 -- 425.931784
54 -- 1.011 -- 2887 -- 2437 -- 452.199863
79 -- 1.016 -- 2621 -- 2437 -- 328.196984
59 -- 1.012 -- 3076 -- 2437 -- 452.866757
63 -- 1.01 -- 2938 -- 2437 -- 430.173428
86 -- 1.01 -- 2630 -- 2437 -- 332.75295
38 -- 0.996 -- 3095 -- 2437 -- 648.498993
91 -- 1.01 -- 2617 -- 2437 -- 345.273613
67 -- 1.011 -- 2979 -- 2437 -- 483.743874
73 -- 1.011 -- 2716 -- 2437 -- 477.723286
46 -- 1.008 -- 3093 -- 2437 -- 641.694609
50 -- 1.009 -- 3116 -- 2437 -- 612.998709
103 -- 1.015 -- 2603 -- 2437 -- 328.027738
114 -- 1.014 -- 2636 -- 2437 -- 281.62576
47 -- 0.748 -- 3083 -- 2437 -- 637.808846
83 -- 1.012 -- 3077 -- 2437 -- 452.324204
42 -- 1.007 -- 3092 -- 2437 -- 708.862338
109 -- 1.011 -- 3079 -- 2437 -- 356.90663
102 -- 1.022 -- 2678 -- 2437 -- 385.560384
95 -- 1.012 -- 3004 -- 2437 -- 428.547045
135 -- 1.02 -- 2620 -- 2437 -- 249.299095
74 -- 1.009 -- 3117 -- 2437 -- 587.55788
99 -- 1.012 -- 2978 -- 2437 -- 455.48625
89 -- 1.017 -- 2985 -- 2437 -- 518.581236
41 -- 1.006 -- 3091 -- 2437 -- 807.99644
119 -- 1.012 -- 2944 -- 2437 -- 416.512793
111 -- 1.01 -- 3083 -- 2437 -- 466.433521
40 -- 1.003 -- 3035 -- 2437 -- 859.1284429999999
49 -- 1.007 -- 3171 -- 2437 -- 808.3652949999999
137 -- 1.011 -- 2761 -- 2437 -- 370.891421
51 -- 0.631 -- 3073 -- 2437 -- 810.767194
127 -- 1.011 -- 3097 -- 2437 -- 430.772077
43 -- 0.532 -- 2952 -- 2437 -- 892.219607
53 -- 1.007 -- 3190 -- 2437 -- 842.3548029999999
66 -- 0.916 -- 3112 -- 2437 -- 772.7077860000001
65 -- 1.007 -- 3185 -- 2437 -- 786.953151
90 -- 1.008 -- 3113 -- 2437 -- 644.0069109999999
131 -- 1.011 -- 2916 -- 2437 -- 462.159444
158 -- 1.011 -- 2632 -- 2437 -- 332.200788
174 -- 1.014 -- 2911 -- 2437 -- 280.949164
57 -- 1.006 -- 3093 -- 2437 -- 871.606534
139 -- 1.012 -- 3075 -- 2437 -- 451.232107
133 -- 1.018 -- 2756 -- 2437 -- 497.139749
151 -- 1.011 -- 2998 -- 2437 -- 427.061288
195 -- 1.02 -- 2591 -- 2437 -- 248.618668
175 -- 1.016 -- 2880 -- 2437 -- 331.177731
191 -- 1.031 -- 3043 -- 2437 -- 273.043352
69 -- 1.005 -- 3126 -- 2437 -- 847.758009
143 -- 1.009 -- 2916 -- 2437 -- 501.794979
215 -- 1.019 -- 2653 -- 2437 -- 207.154582
122 -- 1.008 -- 3091 -- 2437 -- 640.7496169999999
155 -- 1.011 -- 3081 -- 2437 -- 474.070863
118 -- 1.009 -- 3088 -- 2437 -- 662.420301
149 -- 1.018 -- 2736 -- 2437 -- 504.709647
223 -- 1.022 -- 2589 -- 2437 -- 195.360863
12 -- 1.004 -- 3120 -- 2437 -- 1271.96505
163 -- 1.012 -- 2981 -- 2437 -- 460.903735
189 -- 1.011 -- 2929 -- 2437 -- 359.032972
219 -- 1.008 -- 2859 -- 2437 -- 239.111614
17 -- 0.645 -- 3096 -- 2437 -- 1278.451479
167 -- 1.01 -- 3088 -- 2437 -- 478.1985
169 -- 1.01 -- 2784 -- 2437 -- 469.305249
84 -- 1.003 -- 3076 -- 2437 -- 869.103876
106 -- 0.861 -- 3115 -- 2437 -- 776.709958
218 -- 1.014 -- 2866 -- 2437 -- 280.472073
146 -- 1.008 -- 3100 -- 2437 -- 594.798842
123 -- 0.663 -- 3073 -- 2437 -- 748.201251
206 -- 1.023 -- 2661 -- 2437 -- 400.364592
129 -- 1.007 -- 3120 -- 2437 -- 760.654389
154 -- 1.009 -- 3110 -- 2437 -- 637.214864
165 -- 1.006 -- 2761 -- 2437 -- 583.0417660000001
121 -- 1.007 -- 3171 -- 2437 -- 811.0450939999999
246 -- 1.014 -- 2645 -- 2437 -- 284.816478
21 -- 0.61 -- 3171 -- 2437 -- 1386.851375
161 -- 1.006 -- 2954 -- 2437 -- 631.005901
116 -- 1.003 -- 3292 -- 2437 -- 856.931612
207 -- 1.012 -- 3088 -- 2437 -- 458.147719
271 -- 1.02 -- 2918 -- 2437 -- 205.552069
166 -- 1.008 -- 3110 -- 2437 -- 638.342794
283 -- 1.022 -- 2729 -- 2437 -- 185.939006
96 -- 1.005 -- 3333 -- 2437 -- 968.831044
211 -- 1.011 -- 3084 -- 2437 -- 461.07608
178 -- 1.008 -- 3092 -- 2437 -- 620.90549
28 -- 0.911 -- 2942 -- 2437 -- 1395.984519
56 -- 1.004 -- 2948 -- 2437 -- 1213.446934
100 -- 1.002 -- 3404 -- 2437 -- 971.97245
117 -- 1.005 -- 3169 -- 2437 -- 908.126349
295 -- 1.021 -- 3131 -- 2437 -- 193.682874
39 -- 0.745 -- 3070 -- 2437 -- 1347.091337
227 -- 0.971 -- 3000 -- 2437 -- 448.835496
287 -- 1.019 -- 2610 -- 2437 -- 236.057295
58 -- 0.528 -- 3229 -- 2437 -- 1261.69498
239 -- 1.012 -- 2983 -- 2437 -- 429.969179
241 -- 1.002 -- 2686 -- 2437 -- 432.48324
202 -- 1.008 -- 3120 -- 2437 -- 589.410695
291 -- 1.018 -- 2617 -- 2437 -- 261.720761
231 -- 0.911 -- 2980 -- 2437 -- 500.388138
64 -- 1.003 -- 2959 -- 2437 -- 1272.771541
13 -- 0.994 -- 3174 -- 2437 -- 1601.930829
173 -- 1.007 -- 3194 -- 2437 -- 761.238132
323 -- 1.022 -- 2799 -- 2437 -- 195.327751
263 -- 1.01 -- 2986 -- 2437 -- 468.56826
177 -- 1.007 -- 3171 -- 2437 -- 822.849634
181 -- 1.007 -- 3175 -- 2437 -- 803.002655
262 -- 1.01 -- 2680 -- 2437 -- 478.388007
193 -- 1.006 -- 3191 -- 2437 -- 767.500387
297 -- 1.01 -- 2742 -- 2437 -- 371.629296
311 -- 0.954 -- 2899 -- 2437 -- 307.206875
234 -- 1.01 -- 3093 -- 2437 -- 600.351344
343 -- 1.019 -- 2942 -- 2437 -- 211.205448
210 -- 0.645 -- 2928 -- 2437 -- 710.081769
255 -- 0.599 -- 2621 -- 2437 -- 552.550152
334 -- 1.015 -- 2903 -- 2437 -- 271.980867
201 -- 1.007 -- 3103 -- 2437 -- 769.428752
315 -- 1.012 -- 2640 -- 2437 -- 337.353313
72 -- 1.002 -- 3100 -- 2437 -- 1386.682503
330 -- 1.013 -- 2939 -- 2437 -- 304.541422
355 -- 1.002 -- 2620 -- 2437 -- 239.822685
78 -- 1.005 -- 3094 -- 2437 -- 1362.664109
242 -- 1.007 -- 3111 -- 2437 -- 645.81379
346 -- 1.014 -- 2908 -- 2437 -- 282.682832
205 -- 1.007 -- 3099 -- 2437 -- 802.659488
277 -- 1.017 -- 3168 -- 2437 -- 532.5278949999999
350 -- 1.013 -- 3187 -- 2437 -- 283.506924
363 -- 1.013 -- 2607 -- 2437 -- 237.338183
197 -- 1.006 -- 3171 -- 2437 -- 853.789351
254 -- 1.008 -- 3110 -- 2437 -- 627.675832
338 -- 1.014 -- 2644 -- 2437 -- 334.369706
199 -- 0.556 -- 3115 -- 2437 -- 856.25979
209 -- 1.007 -- 3094 -- 2437 -- 824.9329320000001
250 -- 1.007 -- 3172 -- 2437 -- 669.855213
213 -- 0.927 -- 3219 -- 2437 -- 814.76564
367 -- 1.018 -- 2620 -- 2437 -- 262.665735
24 -- 1.003 -- 3306 -- 2437 -- 1772.239655
94 -- 1.005 -- 3091 -- 2437 -- 1356.612652
281 -- 1.007 -- 2705 -- 2437 -- 584.568439
238 -- 0.877 -- 3110 -- 2437 -- 744.988379
179 -- 0.532 -- 3085 -- 2437 -- 1006.515307
130 -- 0.55 -- 3110 -- 2437 -- 1225.497539
274 -- 1.009 -- 3093 -- 2437 -- 638.210741
278 -- 1.007 -- 3110 -- 2437 -- 656.276402
331 -- 1.011 -- 2978 -- 2437 -- 462.440987
159 -- 1.007 -- 2917 -- 2437 -- 1126.117226
32 -- 1.003 -- 3273 -- 2437 -- 1798.166937
172 -- 1.005 -- 2887 -- 2437 -- 1068.44405
286 -- 1.008 -- 3110 -- 2437 -- 638.346542
335 -- 1.01 -- 2979 -- 2437 -- 464.114477
186 -- 0.6850000000000001 -- 3093 -- 2437 -- 1039.742092
302 -- 1.009 -- 3113 -- 2437 -- 598.7549330000001
257 -- 1.006 -- 3119 -- 2437 -- 766.558444
70 -- 0.864 -- 3109 -- 2437 -- 1590.455196
