time,id,cpuusage,disk,jobs,memusage,allocated_cpuusage,allocated_disk,allocated_jobs,allocated_memusage
1,0,0.0,5000,0,0,110,5000,200,2000
2,0,0.0,5000,166,55,110,5000,200,2000
2,1,0.0,5000,0,0,110,5000,200,2000
3,0,101.1,5000,166,111,110,5000,200,2000
3,1,0.0,5000,196,75,110,5000,200,2000
3,2,0.0,5000,0,0,110,5000,200,2000
4,0,99.3,5000,166,168,110,5000,200,2000
4,1,99.4,5000,196,134,110,5000,200,2000
4,2,0.0,5000,163,76,110,5000,200,2000
4,3,0.0,5000,0,0,110,5000,200,2000
5,0,100.7,5000,166,223,110,5000,200,2000
5,1,100.5,5000,196,193,110,5000,200,2000
5,2,97.6,5000,163,130,110,5000,200,2000
5,3,0.0,5000,192,68,110,5000,200,2000
5,4,0.0,5000,0,0,110,5000,200,2000
6,0,97.1,5000,166,276,110,5000,200,2000
6,1,99.8,5000,196,251,110,5000,200,2000
6,2,100.8,5000,163,182,110,5000,200,2000
6,3,101.1,5000,192,113,110,5000,200,2000
6,4,0.0,5000,194,77,110,5000,200,2000
6,5,0.0,5000,0,0,110,5000,200,2000
7,0,100.9,5000,166,325,110,5000,200,2000
7,1,99.5,5000,196,308,110,5000,200,2000
7,2,101.7,5000,163,227,110,5000,200,2000
7,3,98.5,5000,192,165,110,5000,200,2000
7,4,100.5,5000,194,115,110,5000,200,2000
7,5,0.0,5000,161,69,110,5000,200,2000
7,6,0.0,5000,0,0,110,5000,200,2000
8,0,98.8,5000,166,371,110,5000,200,2000
8,1,100.5,5000,196,362,110,5000,200,2000
8,2,98.6,5000,163,273,110,5000,200,2000
8,3,100.2,5000,192,216,110,5000,200,2000
8,4,100.3,5000,194,163,110,5000,200,2000
8,5,100.5,5000,161,111,110,5000,200,2000
8,6,0.0,5000,181,81,110,5000,200,2000
8,7,0.0,5000,0,0,110,5000,200,2000
9,0,100.1,5000,166,416,110,5000,200,2000
9,1,100.4,5000,196,416,110,5000,200,2000
9,2,99.9,5000,163,311,110,5000,200,2000
9,3,102.3,5000,192,269,110,5000,200,2000
9,4,99.8,5000,194,212,110,5000,200,2000
9,5,100.3,5000,161,153,110,5000,200,2000
9,6,100.2,5000,181,134,110,5000,200,2000
9,7,0.0,5000,179,77,110,5000,200,2000
9,8,0.0,5000,0,0,110,5000,200,2000
10,0,101.0,5000,166,468,110,5000,200,2000
10,1,100.5,5000,196,463,110,5000,200,2000
10,2,101.1,5000,163,348,110,5000,200,2000
10,3,99.7,5000,192,323,110,5000,200,2000
