time,id,cpuusage,disk,jobs,memusage,allocated_cpuusage,allocated_disk,allocated_jobs,allocated_memusage
1,0,0.0,5000,0,0,110,5000,200,2000
2,0,0.0,5000,166,49,110,5000,200,2000
2,1,0.0,5000,0,0,110,5000,200,2000
3,0,99.9,5000,166,99,110,5000,200,2000
3,1,0.0,5000,196,47,110,5000,200,2000
3,2,0.0,5000,0,0,110,5000,200,2000
4,0,99.9,5000,166,152,110,5000,200,2000
4,1,102.0,5000,196,93,110,5000,200,2000
4,2,0.0,5000,163,52,110,5000,200,2000
4,3,0.0,5000,0,0,110,5000,200,2000
5,0,99.9,5000,166,206,110,5000,200,2000
5,1,98.6,5000,196,137,110,5000,200,2000
5,2,100.8,5000,163,104,110,5000,200,2000
5,3,0.0,5000,192,53,110,5000,200,2000
5,4,0.0,5000,0,1,110,5000,200,2000
6,0,99.9,5000,166,258,110,5000,200,2000
6,1,102.0,5000,196,177,110,5000,200,2000
6,2,100.7,5000,163,161,110,5000,200,2000
6,3,98.2,5000,192,103,110,5000,200,2000
6,4,0.0,5000,194,51,110,5000,200,2000
6,5,0.0,5000,0,0,110,5000,200,2000
7,0,99.9,5000,166,310,110,5000,200,2000
7,1,98.2,5000,196,223,110,5000,200,2000
7,2,98.5,5000,163,217,110,5000,200,2000
7,3,101.8,5000,192,155,110,5000,200,2000
7,4,99.6,5000,194,102,110,5000,200,2000
7,5,0.0,5000,161,53,110,5000,200,2000
7,6,0.0,5000,0,0,110,5000,200,2000
8,0,99.9,5000,166,360,110,5000,200,2000
8,1,102.2,5000,196,270,110,5000,200,2000
8,2,100.5,5000,163,271,110,5000,200,2000
8,3,99.9,5000,192,208,110,5000,200,2000
8,4,99.8,5000,194,153,110,5000,200,2000
8,5,101.3,5000,161,102,110,5000,200,2000
8,6,0.0,5000,181,54,110,5000,200,2000
8,7,0.0,5000,0,0,110,5000,200,2000
9,0,101.3,5000,166,412,110,5000,200,2000
9,1,98.7,5000,196,321,110,5000,200,2000
