time,id,cpuusage,disk,jobs,memusage,allocated_cpuusage,allocated_disk,allocated_jobs,allocated_memusage
1,0,0.0,5000,0,0,110,5000,20,200
2,0,19.0,5000,0,3,110,5000,20,200
3,0,0.0,5000,0,16,110,5000,20,200
4,0,57.9,5000,6,23,110,5000,20,200
5,0,1.4,5000,6,23,110,5000,20,200
6,0,95.3,5000,6,28,110,5000,20,200
7,0,99.6,5000,6,37,110,5000,20,200
8,0,98.5,5000,6,35,110,5000,20,200
9,0,100.7,5000,6,41,110,5000,20,200
10,0,99.1,5000,6,46,110,5000,20,200
11,0,100.5,5000,6,52,110,5000,20,200
12,0,98.3,5000,6,55,110,5000,20,200
13,0,100.8,5000,6,60,110,5000,20,200
14,0,100.8,5000,6,66,110,5000,20,200
15,0,99.1,5000,6,70,110,5000,20,200
16,0,49.5,5000,6,73,110,5000,20,200
17,0,1.3,5000,6,73,110,5000,20,200
18,0,0.0,5000,6,73,110,5000,20,200
19,0,2.6,5000,6,73,110,5000,20,200
20,0,1.3,5000,6,73,110,5000,20,200
21,0,83.7,5000,6,74,110,5000,20,200
22,0,99.4,5000,6,74,110,5000,20,200
23,0,96.7,5000,6,74,110,5000,20,200
24,0,98.7,5000,6,74,110,5000,20,200
24,1,0.0,5000,0,1,110,5000,20,200
25,0,100.4,5000,6,74,110,5000,20,200
25,1,16.9,5000,0,7,110,5000,20,200
26,0,98.6,5000,6,74,110,5000,20,200
26,1,98.0,5000,0,10,110,5000,20,200
27,0,100.5,5000,6,74,110,5000,20,200
27,1,94.0,5000,0,14,110,5000,20,200
28,0,100.0,5000,6,74,110,5000,20,200
28,1,100.0,5000,0,18,110,5000,20,200
29,0,99.8,5000,6,74,110,5000,20,200
29,1,6.3,5000,9,28,110,5000,20,200
30,0,98.7,5000,6,74,110,5000,20,200
30,1,65.2,5000,9,30,110,5000,20,200
31,0,92.9,5000,6,74,110,5000,20,200
31,1,101.3,5000,9,37,110,5000,20,200
32,0,100.8,5000,6,74,110,5000,20,200
32,1,98.0,5000,9,36,110,5000,20,200
33,0,98.0,5000,6,74,110,5000,20,200
33,1,100.3,5000,9,41,110,5000,20,200
34,0,99.5,5000,6,74,110,5000,20,200
34,1,98.7,5000,9,46,110,5000,20,200
35,0,96.7,5000,6,74,110,5000,20,200
35,1,100.2,5000,9,53,110,5000,20,200
36,0,83.6,5000,6,74,110,5000,20,200
36,1,100.0,5000,9,58,110,5000,20,200
37,0,100.0,5000,6,74,110,5000,20,200
37,1,73.6,5000,9,62,110,5000,20,200
38,0,88.8,5000,6,74,110,5000,20,200
38,1,1.3,5000,9,62,110,5000,20,200
39,0,91.2,5000,6,74,110,5000,20,200
39,1,0.0,5000,9,62,110,5000,20,200
40,0,101.1,5000,6,74,110,5000,20,200
40,1,1.5,5000,9,62,110,5000,20,200
41,0,96.6,5000,6,74,110,5000,20,200
41,1,0.0,5000,9,62,110,5000,20,200
42,0,100.2,5000,6,74,110,5000,20,200
42,1,1.9,5000,9,62,110,5000,20,200
43,0,100.1,5000,6,74,110,5000,20,200
43,1,0.0,5000,9,62,110,5000,20,200
44,0,90.1,5000,6,74,110,5000,20,200
44,1,1.3,5000,9,62,110,5000,20,200
45,0,99.9,5000,6,74,110,5000,20,200
45,1,0.0,5000,9,62,110,5000,20,200
45,2,0.0,5000,0,1,110,5000,20,200
46,0,101.0,5000,6,74,110,5000,20,200
46,1,1.2,5000,9,62,110,5000,20,200
46,2,22.6,5000,0,7,110,5000,20,200
47,0,98.4,5000,6,74,110,5000,20,200
47,1,0.0,5000,9,62,110,5000,20,200
47,2,84.2,5000,0,10,110,5000,20,200
48,0,99.8,5000,6,74,110,5000,20,200
48,1,1.3,5000,9,62,110,5000,20,200
48,2,55.6,5000,0,14,110,5000,20,200
49,0,97.4,5000,6,74,110,5000,20,200
49,1,1.5,5000,9,62,110,5000,20,200
49,2,99.8,5000,0,18,110,5000,20,200
50,0,99.9,5000,6,74,110,5000,20,200
50,1,1.4,5000,9,62,110,5000,20,200
50,2,12.2,5000,6,27,110,5000,20,200
51,0,99.5,5000,6,74,110,5000,20,200
51,1,0.0,5000,9,62,110,5000,20,200
51,2,20.6,5000,6,30,110,5000,20,200
52,0,93.9,5000,6,74,110,5000,20,200
52,1,1.6,5000,9,62,110,5000,20,200
52,2,100.0,5000,6,35,110,5000,20,200
53,0,98.4,5000,6,74,110,5000,20,200
53,1,1.4,5000,9,62,110,5000,20,200
53,2,101.5,5000,6,34,110,5000,20,200
54,0,99.9,5000,6,74,110,5000,20,200
54,1,0.0,5000,9,62,110,5000,20,200
54,2,99.1,5000,6,40,110,5000,20,200
55,0,96.4,5000,6,74,110,5000,20,200
55,1,1.4,5000,9,62,110,5000,20,200
55,2,99.7,5000,6,44,110,5000,20,200
56,0,99.5,5000,6,74,110,5000,20,200
56,1,1.5,5000,9,62,110,5000,20,200
56,2,99.2,5000,6,49,110,5000,20,200
57,0,98.1,5000,6,74,110,5000,20,200
57,1,0.0,5000,9,62,110,5000,20,200
57,2,100.7,5000,6,55,110,5000,20,200
58,0,100.2,5000,6,74,110,5000,20,200
58,1,0.0,5000,9,62,110,5000,20,200
58,2,100.1,5000,6,60,110,5000,20,200
59,0,99.6,5000,6,74,110,5000,20,200
59,1,1.6,5000,9,62,110,5000,20,200
59,2,99.7,5000,6,64,110,5000,20,200
60,0,101.39999999999999,5000,6,74,110,5000,20,200
60,1,1.1,5000,9,62,110,5000,20,200
60,2,100.5,5000,6,70,110,5000,20,200
61,0,94.8,5000,6,74,110,5000,20,200
61,1,0.0,5000,9,62,110,5000,20,200
61,2,99.9,5000,6,76,110,5000,20,200
62,0,87.6,5000,6,74,110,5000,20,200
62,1,1.5,5000,9,62,110,5000,20,200
62,2,99.7,5000,6,81,110,5000,20,200
63,0,90.0,5000,6,74,110,5000,20,200
63,1,1.4,5000,9,62,110,5000,20,200
63,2,100.4,5000,6,87,110,5000,20,200
64,0,100.1,5000,6,74,110,5000,20,200
64,1,0.0,5000,9,62,110,5000,20,200
64,2,38.3,5000,6,88,110,5000,20,200
65,0,98.6,5000,6,74,110,5000,20,200
65,1,1.8,5000,9,62,110,5000,20,200
65,2,2.2,5000,6,88,110,5000,20,200
66,0,96.1,5000,6,74,110,5000,20,200
66,1,0.0,5000,9,62,110,5000,20,200
66,2,2.9,5000,6,88,110,5000,20,200
67,0,93.8,5000,6,74,110,5000,20,200
67,1,1.4,5000,9,62,110,5000,20,200
67,2,4.6,5000,6,88,110,5000,20,200
67,3,0.0,5000,0,0,110,5000,20,200
68,0,100.3,5000,6,74,110,5000,20,200
68,1,0.0,5000,9,62,110,5000,20,200
68,2,99.6,5000,6,88,110,5000,20,200
68,3,16.9,5000,0,5,110,5000,20,200
69,0,100.60000000000001,5000,6,74,110,5000,20,200
69,1,1.5,5000,9,62,110,5000,20,200
69,2,99.0,5000,6,88,110,5000,20,200
69,3,72.8,5000,0,13,110,5000,20,200
70,0,99.4,5000,6,74,110,5000,20,200
70,1,1.3,5000,9,62,110,5000,20,200
70,2,96.3,5000,6,88,110,5000,20,200
70,3,98.3,5000,0,15,110,5000,20,200
71,0,98.0,5000,6,74,110,5000,20,200
71,1,0.0,5000,9,62,110,5000,20,200
71,2,92.8,5000,6,88,110,5000,20,200
71,3,6.6,5000,7,27,110,5000,20,200
72,0,100.2,5000,6,74,110,5000,20,200
72,1,1.2,5000,9,62,110,5000,20,200
72,2,84.1,5000,6,88,110,5000,20,200
72,3,67.8,5000,7,30,110,5000,20,200
73,0,94.9,5000,6,74,110,5000,20,200
73,1,1.3,5000,9,62,110,5000,20,200
73,2,84.4,5000,6,88,110,5000,20,200
73,3,101.8,5000,7,30,110,5000,20,200
74,0,99.1,5000,6,74,110,5000,20,200
74,1,0.0,5000,9,62,110,5000,20,200
74,2,96.1,5000,6,88,110,5000,20,200
74,3,99.7,5000,7,36,110,5000,20,200
75,0,95.0,5000,6,74,110,5000,20,200
75,1,0.0,5000,9,62,110,5000,20,200
75,2,100.1,5000,6,88,110,5000,20,200
75,3,98.2,5000,7,40,110,5000,20,200
76,0,97.6,5000,6,74,110,5000,20,200
76,1,1.3,5000,9,62,110,5000,20,200
76,2,82.7,5000,6,88,110,5000,20,200
76,3,101.3,5000,7,46,110,5000,20,200
77,0,91.4,5000,6,74,110,5000,20,200
77,1,1.5,5000,9,62,110,5000,20,200
77,2,100.2,5000,6,88,110,5000,20,200
77,3,99.1,5000,7,52,110,5000,20,200
78,0,87.6,5000,6,74,110,5000,20,200
78,1,0.0,5000,9,62,110,5000,20,200
78,2,87.1,5000,6,88,110,5000,20,200
78,3,100.8,5000,7,57,110,5000,20,200
79,0,91.2,5000,6,74,110,5000,20,200
79,1,1.5,5000,9,62,110,5000,20,200
79,2,100.0,5000,6,88,110,5000,20,200
79,3,100.6,5000,7,61,110,5000,20,200
80,0,95.8,5000,6,74,110,5000,20,200
80,1,1.5,5000,9,62,110,5000,20,200
80,2,93.6,5000,6,88,110,5000,20,200
80,3,99.2,5000,7,67,110,5000,20,200
81,0,98.6,5000,6,74,110,5000,20,200
81,1,0.0,5000,9,62,110,5000,20,200
81,2,100.4,5000,6,88,110,5000,20,200
81,3,100.5,5000,7,71,110,5000,20,200
82,0,98.2,5000,6,74,110,5000,20,200
82,1,3.9000000000000004,5000,9,62,110,5000,20,200
82,2,81.3,5000,6,88,110,5000,20,200
82,3,39.8,5000,7,71,110,5000,20,200
83,0,99.9,5000,6,74,110,5000,20,200
83,1,1.8,5000,9,62,110,5000,20,200
83,2,85.8,5000,6,88,110,5000,20,200
83,3,97.3,5000,7,72,110,5000,20,200
84,0,99.8,5000,6,74,110,5000,20,200
84,1,0.0,5000,9,62,110,5000,20,200
84,2,85.3,5000,6,88,110,5000,20,200
84,3,99.9,5000,7,72,110,5000,20,200
85,0,98.9,5000,6,74,110,5000,20,200
85,1,1.8,5000,9,62,110,5000,20,200
85,2,99.3,5000,6,88,110,5000,20,200
85,3,87.8,5000,7,72,110,5000,20,200
86,0,99.2,5000,6,74,110,5000,20,200
86,1,1.3,5000,9,62,110,5000,20,200
86,2,99.0,5000,6,88,110,5000,20,200
86,3,94.3,5000,7,72,110,5000,20,200
87,0,99.0,5000,6,74,110,5000,20,200
87,1,0.0,5000,9,62,110,5000,20,200
87,2,95.5,5000,6,88,110,5000,20,200
87,3,78.8,5000,7,72,110,5000,20,200
88,0,99.8,5000,6,74,110,5000,20,200
88,1,1.5,5000,9,62,110,5000,20,200
88,2,98.3,5000,6,88,110,5000,20,200
88,3,90.0,5000,7,72,110,5000,20,200
89,0,92.3,5000,6,74,110,5000,20,200
89,1,1.3,5000,9,62,110,5000,20,200
89,2,100.2,5000,6,88,110,5000,20,200
89,3,76.3,5000,7,72,110,5000,20,200
89,4,0.0,5000,0,0,110,5000,20,200
90,0,98.6,5000,6,74,110,5000,20,200
90,1,0.0,5000,9,62,110,5000,20,200
90,2,98.6,5000,6,88,110,5000,20,200
90,3,90.0,5000,7,72,110,5000,20,200
90,4,28.4,5000,0,8,110,5000,20,200
91,0,98.6,5000,6,74,110,5000,20,200
91,1,1.4,5000,9,62,110,5000,20,200
91,2,96.3,5000,6,88,110,5000,20,200
91,3,98.5,5000,7,72,110,5000,20,200
91,4,73.6,5000,0,12,110,5000,20,200
92,0,99.7,5000,6,74,110,5000,20,200
92,1,1.8,5000,9,62,110,5000,20,200
92,2,99.6,5000,6,88,110,5000,20,200
92,3,95.8,5000,7,72,110,5000,20,200
92,4,47.2,5000,0,15,110,5000,20,200
93,0,98.1,5000,6,74,110,5000,20,200
93,1,0.0,5000,9,62,110,5000,20,200
93,2,94.0,5000,6,88,110,5000,20,200
93,3,72.5,5000,7,72,110,5000,20,200
93,4,38.7,5000,0,18,110,5000,20,200
94,0,100.4,5000,6,74,110,5000,20,200
94,1,0.0,5000,9,62,110,5000,20,200
94,2,100.5,5000,6,88,110,5000,20,200
94,3,90.2,5000,7,72,110,5000,20,200
94,4,4.6,5000,6,24,110,5000,20,200
95,0,98.2,5000,6,74,110,5000,20,200
95,1,1.4,5000,9,62,110,5000,20,200
95,2,89.7,5000,6,88,110,5000,20,200
95,3,89.2,5000,7,72,110,5000,20,200
95,4,23.4,5000,6,28,110,5000,20,200
96,0,100.7,5000,6,74,110,5000,20,200
96,1,1.4,5000,9,62,110,5000,20,200
96,2,100.7,5000,6,88,110,5000,20,200
96,3,89.0,5000,7,72,110,5000,20,200
96,4,98.7,5000,6,28,110,5000,20,200
