time,id,cpuusage,disk,jobs,memusage,allocated_cpuusage,allocated_disk,allocated_jobs,allocated_memusage
1,0,0.0,5000,0,1,110,5000,200,200
2,0,0.0,5000,166,34,110,5000,200,200
3,0,0.0,5000,166,34,110,5000,200,200
4,0,90.1,5000,166,36,110,5000,200,200
5,0,100.4,5000,166,38,110,5000,200,200
6,0,100.3,5000,166,40,110,5000,200,200
7,0,100.2,5000,166,42,110,5000,200,200
8,0,100.8,5000,166,45,110,5000,200,200
9,0,100.2,5000,166,47,110,5000,200,200
10,0,97.1,5000,166,50,110,5000,200,200
11,0,100.2,5000,166,52,110,5000,200,200
12,0,100.4,5000,166,55,110,5000,200,200
13,0,100.1,5000,166,59,110,5000,200,200
14,0,98.5,5000,166,63,110,5000,200,200
15,0,101.0,5000,166,67,110,5000,200,200
16,0,98.5,5000,166,71,110,5000,200,200
17,0,101.0,5000,166,75,110,5000,200,200
18,0,100.4,5000,166,79,110,5000,200,200
19,0,100.4,5000,166,83,110,5000,200,200
20,0,49.9,5000,166,85,110,5000,200,200
21,0,0.0,5000,166,85,110,5000,200,200
22,0,3.3,5000,166,85,110,5000,200,200
23,0,80.1,5000,166,85,110,5000,200,200
24,0,100.3,5000,166,85,110,5000,200,200
25,0,43.1,5000,166,85,110,5000,200,200
26,0,0.0,5000,166,85,110,5000,200,200
27,0,28.4,5000,166,85,110,5000,200,200
28,0,0.0,5000,166,85,110,5000,200,200
29,0,26.6,5000,166,85,110,5000,200,200
30,0,3.3,5000,166,85,110,5000,200,200
31,0,26.6,5000,166,85,110,5000,200,200
32,0,6.6,5000,166,85,110,5000,200,200
33,0,21.7,5000,166,85,110,5000,200,200
34,0,11.7,5000,166,85,110,5000,200,200
35,0,16.6,5000,166,85,110,5000,200,200
36,0,16.7,5000,166,85,110,5000,200,200
37,0,11.7,5000,166,85,110,5000,200,200
38,0,21.7,5000,166,85,110,5000,200,200
39,0,3.3,5000,166,85,110,5000,200,200
40,0,26.7,5000,166,85,110,5000,200,200
41,0,0.0,5000,166,85,110,5000,200,200
42,0,28.6,5000,166,85,110,5000,200,200
43,0,0.0,5000,166,85,110,5000,200,200
44,0,30.0,5000,166,85,110,5000,200,200
45,0,0.0,5000,166,85,110,5000,200,200
46,0,30.0,5000,166,85,110,5000,200,200
47,0,0.0,5000,166,85,110,5000,200,200
48,0,28.3,5000,166,85,110,5000,200,200
49,0,0.0,5000,166,85,110,5000,200,200
50,0,28.3,5000,166,85,110,5000,200,200
51,0,0.0,5000,166,85,110,5000,200,200
52,0,60.1,5000,166,85,110,5000,200,200
53,0,1.7,5000,166,85,110,5000,200,200
53,1,0.0,5000,0,0,110,5000,200,200
54,0,98.4,5000,166,85,110,5000,200,200
54,1,0.0,5000,195,34,110,5000,200,200
55,0,13.3,5000,166,85,110,5000,200,200
55,1,1.7,5000,195,34,110,5000,200,200
56,0,84.9,5000,166,85,110,5000,200,200
56,1,94.0,5000,195,37,110,5000,200,200
57,0,21.9,5000,166,85,110,5000,200,200
