time,id,cpuusage,disk,jobs,memusage,allocated_cpuusage,allocated_disk,allocated_jobs,allocated_memusage
1,0,0.0,5000,0,0,110,5000,200,1000
2,0,0.0,5000,66,54,110,5000,200,1000
3,0,99.6,5000,66,106,110,5000,200,1000
4,0,99.6,5000,66,164,110,5000,200,1000
5,0,100.1,5000,66,212,110,5000,200,1000
6,0,101.3,5000,66,268,110,5000,200,1000
7,0,100.3,5000,66,328,110,5000,200,1000
8,0,99.7,5000,66,389,110,5000,200,1000
9,0,99.6,5000,66,452,110,5000,200,1000
10,0,99.7,5000,66,512,110,5000,200,1000
11,0,99.5,5000,66,572,110,5000,200,1000
12,0,98.6,5000,66,633,110,5000,200,1000
13,0,101.0,5000,66,695,110,5000,200,1000
14,0,100.4,5000,66,757,110,5000,200,1000
15,0,99.1,5000,66,817,110,5000,200,1000
16,0,100.9,5000,66,878,110,5000,200,1000
17,0,100.0,5000,66,940,110,5000,200,1000
18,0,100.4,5000,66,1001,110,5000,200,1000
21,1,0.0,5000,66,0,110,5000,200,1250
22,1,0.0,5000,66,60,110,5000,200,1250
23,1,99.6,5000,66,119,110,5000,200,1250
24,1,101.2,5000,66,165,110,5000,200,1250
25,1,98.0,5000,66,222,110,5000,200,1250
26,1,101.4,5000,66,284,110,5000,200,1250
27,1,101.4,5000,66,346,110,5000,200,1250
28,1,98.0,5000,66,408,110,5000,200,1250
29,1,99.7,5000,66,470,110,5000,200,1250
30,1,101.5,5000,66,531,110,5000,200,1250
31,1,99.7,5000,66,593,110,5000,200,1250
32,1,100.1,5000,66,654,110,5000,200,1250
33,1,99.7,5000,66,716,110,5000,200,1250
34,1,99.8,5000,66,778,110,5000,200,1250
35,1,99.8,5000,66,840,110,5000,200,1250
36,1,99.7,5000,66,902,110,5000,200,1250
37,1,101.4,5000,66,963,110,5000,200,1250
38,1,99.6,5000,66,1025,110,5000,200,1250
39,1,98.5,5000,66,1087,110,5000,200,1250
40,1,101.4,5000,66,1149,110,5000,200,1250
41,1,100.2,5000,66,1210,110,5000,200,1250
42,1,98.5,5000,66,1271,110,5000,200,1250
45,2,0.0,5000,66,1,110,5000,200,1562
46,2,0.0,5000,66,55,110,5000,200,1562
47,2,99.5,5000,66,107,110,5000,200,1562
48,2,101.4,5000,66,169,110,5000,200,1562
49,2,98.7,5000,66,230,110,5000,200,1562
50,2,99.4,5000,66,287,110,5000,200,1562
51,2,100.0,5000,66,336,110,5000,200,1562
52,2,101.0,5000,66,392,110,5000,200,1562
53,2,99.9,5000,66,449,110,5000,200,1562
54,2,99.1,5000,66,508,110,5000,200,1562
55,2,100.3,5000,66,567,110,5000,200,1562
56,2,99.5,5000,66,627,110,5000,200,1562
57,2,102.1,5000,66,684,110,5000,200,1562
58,2,98.0,5000,66,745,110,5000,200,1562
59,2,101.2,5000,66,805,110,5000,200,1562
60,2,99.4,5000,66,862,110,5000,200,1562
60,3,0.0,5000,0,0,110,5000,200,1000
61,2,99.8,5000,66,912,110,5000,200,1562
61,3,0.0,5000,85,59,110,5000,200,1000
62,2,100.9,5000,66,973,110,5000,200,1562
62,3,100.9,5000,85,118,110,5000,200,1000
63,2,99.3,5000,66,1033,110,5000,200,1562
63,3,100.0,5000,85,179,110,5000,200,1000
64,2,101.2,5000,66,1087,110,5000,200,1562
64,3,99.2,5000,85,239,110,5000,200,1000
65,2,97.5,5000,66,1137,110,5000,200,1562
65,3,99.6,5000,85,297,110,5000,200,1000
66,2,100.8,5000,66,1196,110,5000,200,1562
66,3,99.6,5000,85,355,110,5000,200,1000
67,2,99.7,5000,66,1255,110,5000,200,1562
67,3,101.3,5000,85,415,110,5000,200,1000
68,2,100.9,5000,66,1315,110,5000,200,1562
68,3,99.6,5000,85,474,110,5000,200,1000
69,2,99.2,5000,66,1373,110,5000,200,1562
69,3,99.6,5000,85,534,110,5000,200,1000
70,2,100.9,5000,66,1433,110,5000,200,1562
70,3,100.0,5000,85,592,110,5000,200,1000
71,2,98.0,5000,66,1492,110,5000,200,1562
71,3,100.0,5000,85,651,110,5000,200,1000
72,2,101.0,5000,66,1551,110,5000,200,1562
72,3,101.4,5000,85,710,110,5000,200,1000
73,2,100.8,5000,66,1610,110,5000,200,1562
73,3,97.6,5000,85,769,110,5000,200,1000
74,3,101.0,5000,85,828,110,5000,200,1000
76,3,99.5,5000,85,886,110,5000,200,1000
76,4,0.0,5000,66,1,110,5000,200,1952
77,3,99.6,5000,85,946,110,5000,200,1000
77,4,0.0,5000,66,59,110,5000,200,1952
78,3,101.4,5000,85,1005,110,5000,200,1000
